file	nuc_num	celltype	area	dapi_intensity	a647_intensity	a488_intensity
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	34	NES	24201	2231290716.000000	267502267.000000	440839283.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	35	NES	22607	1185717045.000000	241186178.000000	375862398.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	36	NES	32519	2834948949.000000	415582194.000000	662112311.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	37	NES	19918	2249795720.000000	238762898.000000	528492636.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	38	NES	30653	2776524719.000000	368151417.000000	709438532.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	39	NES	34965	2672974000.000000	436644324.000000	666675444.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	40	NES	28643	1950139270.000000	309402044.000000	484857985.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	41	NES	20375	1779899372.000000	227195955.000000	435663692.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	42	NES	17327	1058504971.000000	188650355.000000	321048819.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	1	NES	24120	1556413607.000000	254824184.000000	460451134.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	2	NES	33287	3652764513.000000	405907882.000000	771375837.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	3	NES	27320	1578461240.000000	307129655.000000	480653647.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	4	NES	13549	927267376.000000	135817290.000000	255986402.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	5	NES	34378	3592469910.000000	381269396.000000	740035985.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	6	NES	22646	1565830257.000000	233151422.000000	389460871.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	7	NES	26166	2098711644.000000	303327911.000000	668555010.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	8	NES	27246	1446933088.000000	274299274.000000	415882211.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	9	NES	31866	2708835169.000000	351762344.000000	688295043.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	10	NES	26048	1707288207.000000	289936388.000000	623593502.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	11	NES	24261	1720954164.000000	257642096.000000	521635137.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	12	NES	21387	1725122390.000000	220841986.000000	452904983.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	13	NES	19023	1803986671.000000	197832645.000000	440598844.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	14	NES	26680	1765059965.000000	297238580.000000	551181840.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	15	NES	24581	1764171712.000000	265338466.000000	564116211.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	16	NES	17930	1681635120.000000	188188939.000000	489328149.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	17	NES	27718	1957862616.000000	314369913.000000	563742526.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	18	NES	34556	3870750453.000000	366354012.000000	859229118.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	19	NES	20957	1536179957.000000	212114127.000000	431110486.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	20	NES	37345	3571937142.000000	402879751.000000	903436145.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	21	NES	24544	2189503087.000000	292541880.000000	587739071.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	22	NES	21472	1753892745.000000	230973871.000000	487575253.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	23	NES	19453	1742955624.000000	199534440.000000	441350622.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	24	NES	28977	2390932480.000000	324546791.000000	630201069.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	25	NES	14288	1697271484.000000	160072548.000000	371623714.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	26	NES	20781	1859071267.000000	211846990.000000	444744989.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	27	NES	27227	1713848293.000000	280688372.000000	571395585.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	28	NES	27661	3235902468.000000	314205432.000000	697447501.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	29	NES	20499	1496684949.000000	224438585.000000	406631109.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	30	NES	17565	2063119988.000000	217517420.000000	484199876.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	31	NES	27274	1986445025.000000	288768005.000000	642283842.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	32	NES	22562	1858706218.000000	235464644.000000	452699514.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	33	NES	32482	2481030388.000000	368577447.000000	647255381.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	34	NES	16409	1698099354.000000	175083121.000000	391037535.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	35	NES	17894	1583176409.000000	193452679.000000	441800555.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	36	NES	14680	1319318547.000000	164549938.000000	362056948.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	37	NES	31449	2154541056.000000	360100865.000000	605372283.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_003/dw_dapi_001.tiff	38	NES	23923	1609790616.000000	248605797.000000	462276428.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	1	NES	18567	1576543891.000000	200154869.000000	365239844.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	2	NES	41859	3655157761.000000	463955791.000000	908343883.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	3	NES	13470	1370755781.000000	146376584.000000	277782144.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	4	NES	25245	1893823408.000000	283888478.000000	509127305.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	5	NES	23424	1918906139.000000	255387242.000000	507651216.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	6	NES	29795	2878934484.000000	338206603.000000	678016847.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	7	NES	26392	1805285502.000000	292643204.000000	589344091.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	8	NES	33525	2126138873.000000	362107375.000000	386675092.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	9	NES	27725	1892917857.000000	297093087.000000	494853935.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	10	NES	22694	1750958061.000000	258892255.000000	518428214.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	11	NES	22173	1905206494.000000	246777936.000000	731884263.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_004/dw_dapi_001.tiff	12	NES	25256	2400167954.000000	299793200.000000	607058330.000000
